a (initial radius),b (Spiral growth rate),thc (Spiral shape thickness),th_0 (Spiral's start angle),th_f (Spiral's end angle),th_m (Metal thickness),r (Substrate radius),hs (Substrate height),er (Substrate dielectric constant),f (freq) GHz,gain,s11,VSWR
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.38744,8.443947,-4.91741,3.626563
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.3927,8.454842,-4.91152,3.630692
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.39795,8.464709,-4.90604,3.634535
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.4032,8.473531,-4.90069,3.638299
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.40845,8.481292,-4.8952,3.642177
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.41371,8.487976,-4.88937,3.646295
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.41896,8.493565,-4.8831,3.650736
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.42421,8.498043,-4.87642,3.655489
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.42946,8.498618,-4.86939,3.660496
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.43472,8.498618,-4.86218,3.665648
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.43997,8.498618,-4.85497,3.670819
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.44522,8.498618,-4.84789,3.675908
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.45048,8.498618,-4.84106,3.680837
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.45573,8.498618,-4.83447,3.685607
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.46098,8.498618,-4.82804,3.690266
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.46623,8.494694,-4.82163,3.694935
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.47149,8.489649,-4.815,3.699766
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.47674,8.483636,-4.80795,3.704921
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.48199,8.476676,-4.80028,3.710555
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.48724,8.468787,-4.79186,3.716753
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.4925,8.459986,-4.78265,3.723556
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.49775,8.450293,-4.77276,3.730903
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.503,8.439727,-4.76232,3.73868
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.50825,8.428305,-4.7516,3.746705
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.51351,8.416046,-4.74088,3.754774
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.51876,8.402969,-4.7304,3.762696
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.52401,8.389092,-4.72038,3.7703
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.52926,8.374434,-4.71092,3.777509
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.53452,8.359014,-4.70206,3.784293
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.53977,8.342849,-4.69368,3.79073
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.54502,8.325959,-4.68562,3.79694
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.55028,8.308362,-4.67767,3.803092
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.55553,8.290077,-4.6696,3.809361
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.56078,8.271121,-4.66123,3.815882
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.56603,8.251514,-4.65244,3.822755
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.57129,8.231274,-4.64323,3.829985
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.57654,8.21042,-4.63367,3.837527
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.58179,8.18897,-4.6239,3.845266
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.58704,8.166942,-4.6141,3.853058
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.5923,8.144356,-4.60445,3.860768
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.59755,8.12123,-4.59508,3.868279
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.6028,8.097581,-4.58603,3.875571
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.60805,8.07343,-4.57723,3.882682
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.61331,8.048794,-4.56851,3.889765
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.61856,8.023692,-4.5596,3.89703
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.62381,7.998142,-4.55017,3.904745
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.62906,7.972164,-4.53989,3.913192
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.63432,7.945775,-4.5285,3.922606
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.63957,7.918993,-4.51577,3.933177
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.64482,7.891839,-4.50166,3.944964
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.65008,7.864329,-4.48623,3.957951
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.65533,7.836483,-4.46967,3.971983
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.66058,7.80832,-4.45227,3.986844
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.66583,7.779857,-4.43437,4.002254
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.67109,7.751113,-4.41632,4.017923
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.67634,7.722107,-4.3984,4.03361
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.68159,7.692857,-4.38083,4.049116
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.68684,7.663382,-4.36369,4.064361
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.6921,7.6337,-4.347,4.07933
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.69735,7.603831,-4.33065,4.094107
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.7026,7.573791,-4.3145,4.108816
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.70785,7.543601,-4.29841,4.123589
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.71311,7.513278,-4.28224,4.138541
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.71836,7.482841,-4.26598,4.153696
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.72361,7.452309,-4.24967,4.169019
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.72886,7.4217,-4.23348,4.184342
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.73412,7.391032,-4.21766,4.199437
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.73937,7.360325,-4.20251,4.213997
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.74462,7.329596,-4.18836,4.22769
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.74987,7.298864,-4.17551,4.240212
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.75513,7.268149,-4.16421,4.251285
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.76038,7.237467,-4.15461,4.260741
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.76563,7.206838,-4.1468,4.268469
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.77089,7.176281,-4.14076,4.274467
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.77614,7.145813,-4.13643,4.278773
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.78139,7.115454,-4.13374,4.281455
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.78664,7.085222,-4.13261,4.282581
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.7919,7.055135,-4.13304,4.282157
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.79715,7.025213,-4.13505,4.280149
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.8024,6.995473,-4.13878,4.276437
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.80765,6.965934,-4.14439,4.270861
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.81291,6.936614,-4.15208,4.263241
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.81816,6.907533,-4.16205,4.253408
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.82341,6.878708,-4.17441,4.241283
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.82866,6.850159,-4.18922,4.226851
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.83392,6.821903,-4.20638,4.210268
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.83917,6.793959,-4.22567,4.191776
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.84442,6.766347,-4.24676,4.171762
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.84967,6.739084,-4.26922,4.150669
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.85493,6.712188,-4.29258,4.128966
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.86018,6.685679,-4.31637,4.107113
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.86543,6.659575,-4.34021,4.085459
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.87069,6.633894,-4.36378,4.064286
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.87594,6.608656,-4.38695,4.043701
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.88119,6.583877,-4.40967,4.023727
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.88644,6.559578,-4.43205,4.004258
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.8917,6.535777,-4.45426,3.985135
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.89695,6.512492,-4.47649,3.96619
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.9022,6.489741,-4.49892,3.947265
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.90745,6.467543,-4.52163,3.9283
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.91271,6.445918,-4.54463,3.909292
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.91796,6.424882,-4.56778,3.890362
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.92321,6.404455,-4.59085,3.871686
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.92846,6.384656,-4.61355,3.853495
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.93372,6.365503,-4.63557,3.836027
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.93897,6.347013,-4.65664,3.819463
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.94422,6.329207,-4.67658,3.803938
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.94947,6.312103,-4.69534,3.789452
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.95473,6.295715,-4.71298,3.775938
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.95998,6.280042,-4.72972,3.763206
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.96523,6.265077,-4.74586,3.751024
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.97049,6.250812,-4.76171,3.739135
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.97574,6.23724,-4.77761,3.727293
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.98099,6.224354,-4.79378,3.71534
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.98624,6.212146,-4.81034,3.703176
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.9915,6.200608,-4.82726,3.690838
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,10.99675,6.189733,-4.8444,3.678427
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.002,6.179515,-4.86151,3.66613
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.00725,6.169944,-4.87829,3.654159
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.01251,6.161015,-4.89445,3.642706
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.01776,6.152719,-4.90975,3.631932
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.02301,6.145049,-4.92412,3.621879
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.02826,6.137997,-4.93756,3.612529
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.03352,6.131557,-4.95027,3.603736
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.03877,6.125721,-4.96252,3.595303
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.04402,6.120481,-4.97466,3.586988
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.04927,6.11583,-4.98706,3.578544
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.05453,6.11176,-4.99997,3.569792
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.05978,6.108265,-5.0136,3.560602
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.06503,6.105336,-5.02796,3.550978
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.07029,6.102967,-5.04296,3.540988
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.07554,6.101149,-5.05833,3.530807
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.08079,6.099876,-5.07377,3.520646
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.08604,6.099139,-5.08895,3.510719
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.0913,6.098932,-5.10357,3.501218
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.09655,6.099248,-5.11746,3.492238
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.1018,6.100078,-5.13057,3.483815
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.10705,6.101415,-5.14302,3.47585
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.11231,6.103252,-5.15506,3.468189
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.11756,6.105582,-5.16703,3.460608
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.12281,6.108396,-5.17931,3.452868
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.12806,6.111688,-5.19222,3.444774
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.13332,6.115451,-5.20601,3.436168
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.13857,6.119676,-5.22076,3.427022
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.14382,6.124356,-5.23641,3.417371
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.14907,6.129484,-5.25274,3.407368
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.15433,6.135053,-5.26942,3.397212
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.15958,6.141054,-5.28609,3.38713
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.16483,6.147481,-5.30238,3.377339
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.17009,6.154327,-5.31806,3.367975
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.17534,6.161583,-5.33298,3.35912
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.18059,6.169242,-5.3472,3.350722
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.18584,6.177298,-5.36091,3.342672
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.1911,6.185742,-5.37444,3.334767
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.19635,6.194567,-5.38818,3.326784
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.2016,6.203765,-5.40248,3.318519
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.20685,6.21333,-5.41766,3.309799
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.21211,6.223253,-5.43381,3.300568
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.21736,6.233528,-5.45096,3.290835
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.22261,6.244147,-5.46886,3.280742
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.22786,6.255102,-5.48718,3.270481
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.23312,6.266386,-5.50548,3.260302
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.23837,6.277992,-5.52329,3.250463
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.24362,6.289913,-5.54024,3.24116
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.24887,6.30214,-5.55602,3.232547
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.25413,6.314666,-5.57057,3.224655
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.25938,6.327484,-5.58391,3.217456
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.26463,6.340587,-5.59626,3.210825
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.26988,6.353967,-5.60789,3.204606
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.27514,6.367617,-5.61907,3.198653
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.28039,6.381529,-5.63002,3.192844
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.28564,6.395696,-5.64075,3.187174
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.2909,6.41011,-5.65115,3.181704
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.29615,6.424764,-5.66078,3.176653
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.3014,6.43965,-5.66911,3.172303
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.30665,6.454762,-5.67539,3.169032
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.31191,6.470092,-5.67884,3.167235
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.31716,6.485632,-5.67876,3.167278
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.32241,6.501374,-5.67451,3.169489
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.32766,6.517312,-5.66575,3.174057
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.33292,6.533438,-5.65231,3.181093
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.33817,6.549745,-5.63438,3.19054
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.34342,6.566225,-5.61227,3.202269
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.34867,6.582871,-5.58655,3.216034
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.35393,6.599674,-5.55786,3.23155
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.35918,6.616629,-5.52684,3.248508
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.36443,6.633727,-5.49414,3.266602
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.36968,6.650962,-5.4603,3.285561
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.37494,6.668325,-5.42582,3.305131
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.38019,6.685809,-5.39111,3.325088
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.38544,6.703407,-5.35658,3.345211
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.3907,6.721111,-5.32264,3.36525
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.39595,6.738914,-5.28974,3.384933
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.4012,6.756808,-5.2584,3.403914
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.40645,6.774787,-5.22918,3.421822
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.41171,6.792842,-5.20268,3.438243
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.41696,6.810967,-5.17947,3.452767
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.42221,6.829153,-5.16,3.465057
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.42746,6.847394,-5.14462,3.474833
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.43272,6.865681,-5.13338,3.482011
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.43797,6.884008,-5.12622,3.486606
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.44322,6.902367,-5.1227,3.488866
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.44847,6.920751,-5.12228,3.489135
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.45373,6.939152,-5.12421,3.487897
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.45898,6.957563,-5.12767,3.485672
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.46423,6.975976,-5.13192,3.482952
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.46948,6.994385,-5.13624,3.480187
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.47474,7.012781,-5.1402,3.477655
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.47999,7.031156,-5.14351,3.475542
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.48524,7.049505,-5.14619,3.473832
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.4905,7.067819,-5.14839,3.472431
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.49575,7.086091,-5.15042,3.471138
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.501,7.104313,-5.15263,3.469733
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.50625,7.122478,-5.15528,3.46805
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.51151,7.140579,-5.15856,3.465972
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.51676,7.158607,-5.16239,3.463541
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.52201,7.176557,-5.16661,3.460878
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.52726,7.19442,-5.17077,3.458246
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.53252,7.212188,-5.17441,3.455954
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.53777,7.229856,-5.17699,3.454328
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.54302,7.247414,-5.17804,3.45367
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.54827,7.264856,-5.17727,3.454153
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.55353,7.282174,-5.17454,3.45587
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.55878,7.29936,-5.17001,3.458728
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.56403,7.316408,-5.16396,3.46255
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.56928,7.33331,-5.15688,3.467036
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.57454,7.350059,-5.14929,3.471856
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.57979,7.366646,-5.14168,3.476707
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.58504,7.383065,-5.13445,3.48133
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.5903,7.399308,-5.12776,3.485618
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.59555,7.415368,-5.12164,3.489548
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.6008,7.431238,-5.11588,3.493261
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.60605,7.446909,-5.11015,3.496957
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.61131,7.462375,-5.10409,3.500883
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.61656,7.477628,-5.09732,3.505273
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.62181,7.49266,-5.08969,3.510242
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.62706,7.507465,-5.08114,3.515823
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.63232,7.522035,-5.07197,3.521832
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.63757,7.536362,-5.06261,3.527984
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.64282,7.550439,-5.05376,3.533824
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.64807,7.564258,-5.04619,3.538844
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.65333,7.577813,-5.04064,3.542526
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.65858,7.591095,-5.03784,3.54439
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.66383,7.604097,-5.03824,3.54412
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.66908,7.616813,-5.04218,3.541504
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.67434,7.629233,-5.04963,3.536562
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.67959,7.641352,-5.06044,3.529417
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.68484,7.653161,-5.07423,3.520345
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.6901,7.664654,-5.09058,3.509657
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.69535,7.675822,-5.10908,3.497652
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.7006,7.686658,-5.12936,3.484589
0.55,3.5,1,4*pi,8*pi,0.01,60,3.5,4.5,11.70585,7.697155,-5.15129,3.470584
